date,coin_price,coin_volume
2025-02-07,274.489990234375,7885600
2025-02-10,280.2200012207031,5521800
2025-02-11,266.8999938964844,6915000
2025-02-12,274.8999938964844,6362800
2025-02-13,298.1099853515625,18900200
2025-02-14,274.30999755859375,19269700
2025-02-18,264.6300048828125,11564800
2025-02-19,258.6700134277344,6813800
2025-02-20,256.5899963378906,6400700
2025-02-21,235.3800048828125,17195500
2025-02-24,227.07000732421875,12125000
2025-02-25,212.49000549316406,15192600
2025-02-26,212.9600067138672,7871600
2025-02-27,208.3699951171875,8082400
2025-02-28,215.6199951171875,9031200
2025-03-03,205.75,15997800
2025-03-04,212.5500030517578,13060900
2025-03-05,222.4499969482422,9581600
2025-03-06,214.1699981689453,8405400
2025-03-07,217.4499969482422,8615100
2025-03-10,179.22999572753906,18664100
2025-03-11,191.69000244140625,11382200
2025-03-12,191.72999572753906,9616800
2025-03-13,177.49000549316406,9559400
2025-03-14,183.1199951171875,9454400
2025-03-17,188.9600067138672,7216500
2025-03-18,181.13999938964844,7408200
2025-03-19,189.75,8194200
2025-03-20,190.3800048828125,6718000
2025-03-21,189.86000061035156,7344800
2025-03-24,203.0399932861328,9489500
2025-03-25,204.22999572753906,7877700
2025-03-26,193.9499969482422,7113400
2025-03-27,188.5800018310547,5426300
2025-03-28,173.92999267578125,10040200
2025-03-31,172.22999572753906,7781300
2025-04-01,174.52000427246094,5489700
2025-04-02,182.9499969482422,8208600
2025-04-03,170.75999450683594,9556200
2025-04-04,160.5500030517578,14570800
2025-04-07,157.27999877929688,13251700
2025-04-08,151.47000122070312,11117400
2025-04-09,177.08999633789062,15258000
2025-04-10,169.6199951171875,11196300
2025-04-11,175.5,7769300
2025-04-14,176.5800018310547,6427100
2025-04-15,175.57000732421875,5369500
2025-04-16,172.2100067138672,5226700
2025-04-17,175.02999877929688,5125300
2025-04-21,175.0,5054700
2025-04-22,190.0,12807000
2025-04-23,194.8000030517578,9870200
2025-04-24,203.8699951171875,6840600
2025-04-25,209.63999938964844,8060900
2025-04-28,205.27000427246094,7624200
2025-04-29,206.1300048828125,4254900
2025-04-30,202.88999938964844,4769400
2025-05-01,201.3000030517578,6243200
2025-05-02,204.92999267578125,6133300
2025-05-05,199.39999389648438,5108700
2025-05-06,196.88999938964844,4672600
2025-05-07,196.55999755859375,4825700
2025-05-08,206.5,14390000
2025-05-09,199.32000732421875,16384200
2025-05-12,207.22000122070312,14944200
2025-05-13,256.8999938964844,39119000
2025-05-14,263.4100036621094,18344700
2025-05-15,244.44000244140625,25917200
2025-05-16,266.4599914550781,72627500
2025-05-19,263.989990234375,12437600
2025-05-20,261.3800048828125,8624600
2025-05-21,258.989990234375,11748000
2025-05-22,271.95001220703125,15613700
2025-05-23,263.1600036621094,9290300
2025-05-27,266.3999938964844,7884500
2025-05-28,254.2899932861328,8305300
2025-05-29,248.83999633789062,7673400
2025-05-30,246.6199951171875,6070900
2025-06-02,246.72000122070312,6188000
2025-06-03,258.9100036621094,9946400
2025-06-04,256.0,6026800
2025-06-05,244.1999969482422,11971900
2025-06-06,251.27000427246094,7360200
2025-06-09,256.6300048828125,6064800
2025-06-10,254.94000244140625,5858000
2025-06-11,250.67999267578125,5986100
2025-06-12,241.0500030517578,7725300
2025-06-13,242.7100067138672,7062700
2025-06-16,261.57000732421875,12034700
2025-06-17,253.85000610351562,9050800
2025-06-18,295.2900085449219,37434300
2025-06-20,308.3800048828125,31468800
2025-06-23,307.5899963378906,17553700
2025-06-24,344.82000732421875,29670900
2025-06-25,355.3699951171875,30154300
2025-06-26,375.07000732421875,27371400
2025-06-27,353.42999267578125,29000400
2025-06-30,350.489990234375,11227600
2025-07-01,335.3299865722656,13132100
2025-07-02,354.45001220703125,12493100
2025-07-03,355.79998779296875,6704300
2025-07-07,357.1000061035156,7885300
2025-07-08,354.82000732421875,9735000
2025-07-09,373.8500061035156,13238400
2025-07-10,388.9599914550781,17241600
2025-07-11,387.05999755859375,16694600
2025-07-14,394.010009765625,12473500
2025-07-15,388.0199890136719,16889300
2025-07-16,398.20001220703125,14355800
2025-07-17,410.75,16840500
2025-07-18,419.7799987792969,28063200
2025-07-21,413.6300048828125,17018100
2025-07-22,404.44000244140625,14554900
2025-07-23,397.80999755859375,12433200
2025-07-24,396.70001220703125,7904600
2025-07-25,391.6600036621094,8643300
2025-07-28,379.489990234375,11270400
2025-07-29,371.44000244140625,9334700
2025-07-30,377.4800109863281,11100000
2025-07-31,377.760009765625,12371200
2025-08-01,314.69000244140625,31342200
2025-08-04,318.1700134277344,12106400
2025-08-05,297.989990234375,16863900
2025-08-06,303.5799865722656,15982700
2025-08-07,310.7900085449219,13857200
2025-08-08,310.5400085449219,9253800
2025-08-11,319.6199951171875,14664400
2025-08-12,322.6199951171875,9947800
2025-08-13,327.010009765625,15399800
2025-08-14,324.8900146484375,9403600
2025-08-15,317.54998779296875,7881200
2025-08-18,320.7300109863281,8798800
2025-08-19,302.07000732421875,10327700
2025-08-20,304.3900146484375,8570300
2025-08-21,300.2799987792969,5743400
2025-08-22,319.8500061035156,13029200
2025-08-25,306.0,8473900
2025-08-26,308.4800109863281,7745400
2025-08-27,308.9700012207031,5746300
2025-08-28,308.4700012207031,6292500
2025-08-29,304.5400085449219,6611400
2025-09-02,303.55999755859375,6814900
2025-09-03,302.30999755859375,5220800
2025-09-04,306.79998779296875,6211800
2025-09-05,299.07000732421875,11367000
2025-09-08,302.20001220703125,8824100
2025-09-09,318.7799987792969,10361300
2025-09-10,315.3399963378906,8664800
2025-09-11,323.95001220703125,7702700
2025-09-12,323.0400085449219,6929400
2025-09-15,327.0199890136719,6896900
2025-09-16,327.9100036621094,7434900
2025-09-17,320.55999755859375,8921200
2025-09-18,343.1300048828125,17324500
2025-09-19,342.4599914550781,13272100
2025-09-22,331.95001220703125,8720700
2025-09-23,320.07000732421875,8245900
2025-09-24,321.7699890136719,4869800
