date,price,volume,market_cap
2025-02-08 00:00:00,96558.4563096667,57077722340.22422,1911296376425.356
2025-02-09 00:00:00,96558.23762501091,20760850644.84597,1914211835440.1182
2025-02-10 00:00:00,96548.57865379585,25457107581.051964,1913068773356.083
2025-02-11 00:00:00,97399.98161383197,37054987393.57789,1930742951090.367
2025-02-12 00:00:00,95739.97737079239,36454577154.5622,1898788887978.3252
2025-02-13 00:00:00,97836.18856127483,47115618235.19051,1936842454813.9983
2025-02-14 00:00:00,96561.6639990985,29084371910.690556,1914315097486.3862
2025-02-15 00:00:00,97488.48148536457,32289906944.92862,1931656846871.4856
2025-02-16 00:00:00,97569.95169430465,14215311318.346336,1934308378710.2861
2025-02-17 00:00:00,96149.3484548204,13634794998.739267,1905012222220.3691
2025-02-18 00:00:00,95776.15723852723,25324374113.08163,1898997753781.9536
2025-02-19 00:00:00,95495.89153299287,38311133144.729355,1892702154844.508
2025-02-20 00:00:00,96554.87156259285,27703222487.389572,1914337919659.5537
2025-02-21 00:00:00,98384.31738240314,24175261969.81266,1950376106325.3228
2025-02-22 00:00:00,96135.15541305285,42477472950.92155,1906058197506.3809
2025-02-23 00:00:00,96564.15414290235,18464415570.762142,1915260330870.798
2025-02-24 00:00:00,96327.46309127835,16643044374.983364,1909625674815.4763
2025-02-25 00:00:00,91396.76686930266,45539703844.38777,1814176779160.4363
2025-02-26 00:00:00,88755.7693356979,96742453402.56294,1759750360550.3337
2025-02-27 00:00:00,83900.11496524839,69277430795.68657,1664314955447.7466
2025-02-28 00:00:00,84709.14477847965,81960688217.70384,1679555320077.2097
2025-03-01 00:00:00,84441.9012237131,80695237175.07367,1674754437110.342
2025-03-02 00:00:00,86005.25629681018,30634474722.6359,1705564098300.8237
2025-03-03 00:00:00,94261.53286538439,61859112550.80991,1868321705444.4878
2025-03-04 00:00:00,86124.71418722175,68715362745.4567,1708198960874.3418
2025-03-05 00:00:00,87310.80531078295,65863356680.42408,1731441668069.6523
2025-03-06 00:00:00,90604.08098523637,51606642859.81411,1797706868227.531
2025-03-07 00:00:00,90001.40087607042,47555759124.64708,1782785866811.654
2025-03-08 00:00:00,86773.33597555371,63216440874.73251,1720436931689.2776
2025-03-09 00:00:00,86142.9833586432,18809360803.37126,1708605516770.228
2025-03-10 00:00:00,80751.13893300897,32013406240.51754,1602073794580.0344
2025-03-11 00:00:00,78783.94057934263,49983692766.22745,1563547150147.7332
2025-03-12 00:00:00,82799.1080292053,56404462275.083046,1642997419531.6057
2025-03-13 00:00:00,83884.24578828987,41782186208.59073,1662502658717.542
2025-03-14 00:00:00,81098.90052436228,32583592654.882656,1608477373718.186
2025-03-15 00:00:00,83971.70916064628,28571483950.074646,1665725559905.8198
2025-03-16 00:00:00,84391.69087647168,10761796127.312485,1674173293916.4658
2025-03-17 00:00:00,82610.61750343916,21638031633.118767,1638672153483.722
2025-03-18 00:00:00,84075.36559694471,19659366246.596867,1667799227887.438
2025-03-19 00:00:00,82780.03048688271,24557570268.85276,1642578274105.806
2025-03-20 00:00:00,86815.44109470697,33871216993.304657,1721565138141.278
2025-03-21 00:00:00,84270.84358966233,27579127651.06656,1672550706502.8184
2025-03-22 00:00:00,84009.532917822,18091004975.919056,1666749159154.2927
2025-03-23 00:00:00,83793.30854192551,7771134681.982918,1662574363663.653
2025-03-24 00:00:00,85787.70914901773,12617587530.619724,1702009594329.4495
2025-03-25 00:00:00,87327.72969669085,27270889835.1835,1732715331970.134
2025-03-26 00:00:00,87520.58391530563,30351832942.705593,1735368473904.4885
2025-03-27 00:00:00,86960.8555491039,25522877558.700558,1724854479045.6724
2025-03-28 00:00:00,87227.27158032371,24620445368.489468,1729729987159.4822
2025-03-29 00:00:00,84359.46915506005,31674486232.097313,1673182800974.1038
2025-03-30 00:00:00,82679.17255385047,16837439419.924389,1640665503855.1438
